StartDate,Ridership
2012/7/5,6241
2012/7/6,6207
2012/7/7,4840
2012/7/8,4672
2012/7/9,6569
2012/7/10,6290
2012/7/11,7264
2012/7/12,7446
2012/7/13,7499
2012/7/14,6969
2012/7/15,6031
2012/7/16,6830
2012/7/17,6786
2012/7/18,5713
2012/7/19,6591
2012/7/20,5870
2012/7/21,4459
2012/7/22,7410
2012/7/23,6966
2012/7/24,7592
2012/7/25,8173
2012/7/26,6861
2012/7/27,6904
2012/7/28,6685
2012/7/29,6597
2012/7/30,7105
2012/7/31,7216
2012/8/1,7580
2012/8/2,7261
2012/8/3,7175
2012/8/4,6824
2012/8/5,5464
2012/8/6,7013
2012/8/7,7273
2012/8/8,7534
2012/8/9,7286
2012/8/10,5786
2012/8/11,6299
2012/8/12,6544
2012/8/13,6883
2012/8/14,6784
2012/8/15,7347
2012/8/16,7605
2012/8/17,7148
2012/8/18,7865
2012/8/19,4549
2012/8/20,6530
2012/8/21,7006
2012/8/22,7375
2012/8/23,7765
2012/8/24,7582
2012/8/25,6053
2012/8/26,5255
2012/8/27,6917
2012/8/28,7040
2012/8/29,7697
2012/8/30,7713
2012/8/31,7350
2012/9/1,6140
2012/9/2,5810
2012/9/3,6034
2012/9/4,6864
2012/9/5,7112
2012/9/6,6203
2012/9/7,7503
2012/9/8,5976
2012/9/9,8227
2012/9/10,7525
2012/9/11,7767
2012/9/12,7870
2012/9/13,7804
2012/9/14,8009
2012/9/15,8714
2012/9/16,7333
2012/9/17,6869
2012/9/18,4073
2012/9/19,7591
2012/9/20,7720
2012/9/21,8167
2012/9/22,8395
2012/9/23,7907
2012/9/24,7436
2012/9/25,7538
2012/9/26,7733
2012/9/27,7393
2012/9/28,7415
2012/9/29,8555
2012/9/30,6889
2012/10/1,6778
2012/10/2,4639
2012/10/3,7572
2012/10/4,7328
2012/10/5,8156
2012/10/6,7965
2012/10/7,3510
2012/10/8,5478
2012/10/9,6392
2012/10/10,7691
2012/10/11,7570
2012/10/12,7281
2012/10/13,7109
2012/10/14,6639
2012/10/15,5875
2012/10/16,7534
2012/10/17,7461
2012/10/18,7509
2012/10/19,5424
2012/10/20,8090
2012/10/21,6824
2012/10/22,7058
2012/10/23,7466
2012/10/24,7693
2012/10/25,7359
2012/10/26,7444
2012/10/27,7852
2012/10/28,4459
2012/10/29,22
2012/10/30,1096
2012/10/31,5566
2012/11/1,5986
2012/11/2,5847
2012/11/3,5138
2012/11/4,5107
2012/11/5,5259
2012/11/6,5686
2012/11/7,5035
2012/11/8,5315
2012/11/9,5992
2012/11/10,6536
2012/11/11,6852
2012/11/12,6269
2012/11/13,4094
2012/11/14,5495
2012/11/15,5445
2012/11/16,5698
2012/11/17,5629
2012/11/18,4669
2012/11/19,5499
2012/11/20,5634
2012/11/21,5146
2012/11/22,2425
2012/11/23,3910
